Organización Política,Estado Org. Política,Tipo partido,Alcance,Fecha de inscripción,Fecha de cancelación
PARTIDO POLITICO ADP,INSCRITO,PARTIDO POLÍTICO,NACIONAL,17/06/2025,
MOVIMIENTO REGIONAL YAKU APURIMAC,INSCRITO,MOVIMIENTO REGIONAL,APURÍMAC,31/10/2024,
PARTIDO MORADO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,01/03/2019
KAYPI PROGRESO,CANCELADO,MOVIMIENTO REGIONAL,APURÍMAC,,01/04/2011
ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,INSCRITO,MOVIMIENTO REGIONAL,ANCASH,,02/02/2021
REFORMA Y HONRADEZ POR MAS OBRAS,INSCRITO,ALIANZA ELECTORAL,REGIONAL,,02/03/2022
DESPERTAR NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
NUEVA MAYORIA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
CAMBIO RADICAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
PARTIDO DESCENTRALISTA FUERZA SOCIAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
FUERZA NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
PARTIDO POLITICO ADELANTE,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
FRENTE POPULAR AGRICOLA FIA DEL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
CONCERTACION DESCENTRALISTA,CANCELADO,ALIANZA ELECTORAL,NACIONAL,,02/08/2006
MOVIMIENTO INDEPENDIENTE PROYECTO JOVEN,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ANCASH - YUNGAY,,02/09/2015
FONAVISTAS DEL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/11/2011
BLOQUE POPULAR JUNIN,CANCELADO,MOVIMIENTO REGIONAL,JUNÍN,,03/05/2011
MOVIMIENTO REGIONAL TUMBES UNIDO,INSCRITO,MOVIMIENTO REGIONAL,TUMBES,,03/05/2024
PROGRESEMOS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,03/07/2024
NUEVO PERU POR EL BUEN VIVIR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,03/07/2024
MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE,INSCRITO,MOVIMIENTO REGIONAL,CAJAMARCA,,03/09/2024
FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS,CANCELADO,MOVIMIENTO REGIONAL,PUNO,,04/04/2011
MOVIMIENTO LISTA DE INTEGRACION PARA EL DESARROLLO REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,MOQUEGUA,,04/04/2011
MOVIMIENTO REGIONAL FORTALEZA PERU,INSCRITO,MOVIMIENTO REGIONAL,LA LIBERTAD,,04/06/2018
MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,INSCRITO,MOVIMIENTO REGIONAL,TACNA,,04/07/2014
ACCION POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,04/08/2004
ALIANZA SOLIDARIDAD NACIONAL,CANCELADO,ALIANZA ELECTORAL,NACIONAL,,04/08/2011
PERÚ POSIBLE,CANCELADO,ALIANZA ELECTORAL,NACIONAL,,04/08/2011
ALIANZA POR EL GRAN CAMBIO,CANCELADO,ALIANZA ELECTORAL,NACIONAL,,04/08/2011
PARTICIPACION POPULAR,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,04/09/2012
ALTERNATIVA LIBRE,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - PUEBLO LIBRE,,05/03/2007
FRENTE DE INTEGRACION VECINAL DE UTCUBAMBA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),AMAZONAS - UTCUBAMBA,,05/03/2007
ORGANIZACION INDEPENDIENTE TODOS POR ILO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),MOQUEGUA - ILO,,05/03/2007
ORGANIZACION INDEPENDIENTE ASHANINKA DEL PICHIS,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),PASCO - OXAPAMPA - PUERTO BERMUDEZ,,05/03/2007
ACCION Y DESARROLLO SAN JUANINO,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LORETO - MAYNAS - SAN JUAN BAUTISTA,,05/03/2007
PISCO AL FUTURO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ICA - PISCO,,05/03/2007
LUCHO POR EL RIMAC,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - RIMAC,,05/03/2007
ARRIBA CAÑETE,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),LIMA - CAÑETE,,05/03/2007
NACE UNA ESPERANZA,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LA LIBERTAD - TRUJILLO - LA ESPERANZA,,05/03/2007
CIVISMO Y DEMOCRACIA,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LA LIBERTAD - TRUJILLO - VICTOR LARCO HERRERA,,05/03/2007
AGRUPACION POLITICA INDEPENDIENTE JUNTOS POR EL CUSCO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),CUSCO - CUSCO,,05/03/2007
MOVILIZACION INDEPENDIENTE CAMPESINA ATUSPARIA,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ANCASH - SIHUAS,,05/03/2007
CONSENSO VECINAL,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - LA VICTORIA,,05/03/2007
UNIDOS PUEBLO AGRO TAMBOGRANDE CASERIOS UNIDOS,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),PIURA - PIURA - TAMBO GRANDE,,05/03/2007
DIGNIDAD VECINAL,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - ATE,,05/03/2007
NUEVO SATIPO,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),JUNÍN - SATIPO,,05/03/2007
UNIDOS POR EL CAMBIO DE PACHANGARA,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - OYON - PACHANGARA,,05/03/2007
ACCION SOLIDARIA,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - SAN JUAN DE LURIGANCHO,,05/03/2007
RESURGIR SALPINO,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LA LIBERTAD - OTUZCO - SALPO,,05/03/2007
ARMANDO EL PROGRESO,CANCELADO,ORGANIZACION LOCAL (DISTRITAL),LIMA - LIMA - LURIGANCHO,,05/03/2007
SECHURANOS UNIDOS,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),PIURA - SECHURA,,05/03/2007
PASCO VERDE,INSCRITO,MOVIMIENTO REGIONAL,PASCO,,05/05/2014
FRENTE POPULAR INDEPENDIENTE,CANCELADO,MOVIMIENTO REGIONAL,ICA,,05/07/2011
"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",INSCRITO,PARTIDO POLÍTICO,NACIONAL,,05/07/2023
MOVIMIENTO DE INCLUSION REGIONAL,INSCRITO,MOVIMIENTO REGIONAL,TUMBES,,06/07/2015
MOVIMIENTO REGIONAL AYNI,INSCRITO,MOVIMIENTO REGIONAL,AYACUCHO,,06/10/2017
MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,INSCRITO,MOVIMIENTO REGIONAL,HUÁNUCO,,07/02/2018
UNION REGIONAL,INSCRITO,MOVIMIENTO REGIONAL,SAN MARTÍN,,07/02/2018
UNO POR ICA,INSCRITO,MOVIMIENTO REGIONAL,ICA,,07/02/2018
SOCIOS POR ANCASH,INSCRITO,MOVIMIENTO REGIONAL,ANCASH,,07/03/2022
PERU MODERNO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,07/06/2023
PERU NACION,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
VAMOS PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
PERU PATRIA SEGURA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
DEMOCRACIA DIRECTA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
TODOS POR EL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
PARTIDO POLITICO CONTIGO,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
VICTORIA NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
RENACIMIENTO UNIDO NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
PARTIDO NACIONALISTA PERUANO,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
UNION POR EL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,07/09/2021
FRENTE REGIONAL DE CAJAMARCA,CANCELADO,MOVIMIENTO REGIONAL,CAJAMARCA,,07/10/2025
RENOVACION POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,07/12/2004
MOVIMIENTO ESPERANZA REGION AMAZONICA,INSCRITO,MOVIMIENTO REGIONAL,LORETO,,07/12/2005
MOVIMIENTO POLITICO REGIONAL DIGNIDAD TUMBESINA,INSCRITO,MOVIMIENTO REGIONAL,TUMBES,,08/01/2018
FUERZA AREQUIPEÑA,INSCRITO,MOVIMIENTO REGIONAL,AREQUIPA,,08/02/2010
REGION PARA TODOS,INSCRITO,MOVIMIENTO REGIONAL,PIURA,,08/04/2010
CAJAMARCA SIEMPRE VERDE,INSCRITO,MOVIMIENTO REGIONAL,CAJAMARCA,,08/06/2010
LIBERTAD POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,08/06/2023
FRENTE ESPERANZA POR TACNA,INSCRITO,MOVIMIENTO REGIONAL,TACNA,,09/01/2018
PASCO DIGNIDAD,INSCRITO,MOVIMIENTO REGIONAL,PASCO,,09/02/2011
FUERZA POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,09/03/2010
MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,INSCRITO,MOVIMIENTO REGIONAL,PUNO,,09/03/2018
YO AREQUIPA,INSCRITO,MOVIMIENTO REGIONAL,AREQUIPA,,09/03/2018
MOVIMIENTO REGIONAL QATARY HUANCAVELICA,INSCRITO,MOVIMIENTO REGIONAL,HUANCAVELICA,,09/04/2024
HATARIY APURIMAC,INSCRITO,MOVIMIENTO REGIONAL,APURÍMAC,,09/12/2021
